a	bir
develop	geliştirmek
development	gelişim, kalkınma
die	ölmek
difference	fark
different	farklı
difficult	zor
dinner	akşam yemeği
direction	yön
director	yönetmen
discover	keşfetmek
discuss	tartışmak
discussion	tartışma
disease	hastalık
do	yapmak
doctor	doktor
dog	köpek
door	kapı
down	aşağı
draw	çizmek
dream	rüya
drive	sürmek
drop	düşürmek
drug	uyuşturucu
during	sırasında
each	her biri
early	erken
east	doğu
easy	kolay
eat	yemek yemek
economic	ekonomik
economy	ekonomi
edge	kenar, kıyı
education	eğitim
effect	efekt
effort	çaba
eight	sekiz
either	ya
election	seçim
else	başka
employee	çalışan
end	son
energy	enerji
enjoy	keyif almak
enough	yeterli
enter	girmek, katılmak
entire	tamamı
environment	çevre
environmental	çevreci
especially	özellikle
establish	kurmak
evening	akşam
event	olay
ever	hiç
every	her
everybody	herkes
everyone	herkes, her biri
everything	her şey
evidence	delil
exactly	kesinlikle
example	örnek
executive	yönetici
exist	var olmak
expect	ummak
experience	deneyim
expert	uzman
explain	açıklamak
eye	göz
face	yüz
fact	gerçek
factor	faktör
fail	başarısız
fall	düşmek
family	aile
far	uzak
fast	hızlı
father	baba
fear	korku
federal	federal
feel	hissetmek
feeling	duygu
few	az
field	tarla, alan
fight	kavga
figure	şekil
fill	doldurmak
film	film
final	final, nihai
finally	en sonunda
financial	mali
find	bulmak
fine	iyi, güzel
finger	parmak
finish	bitiş
fire	ateş
firm	firma
first	ilk
fish	balık
five	beş
floor	zemin
fly	uçmak
focus	odaklanmak
follow	takip etmek
food	gıda, yiyecek
foot	ayak
for	için
force	kuvvet
foreign	yabancı
forget	unutmak
form	form
former	önceki, eski
forward	Ileri
four	dört
free	ücretsiz
friend	arkadaş
front	ön
full	tam
fund	fon, sermaye
future	gelecek
game	oyun
garden	bahçe
gas	gaz
general	genel
generation	nesil
get	almak
girl	kız
give	vermek
glass	bardak
go	gitmek
goal	hedef
good	iyi
government	hükümet
great	harika
green	yeşil
ground	zemin
group	grup
grow	büyümek
growth	büyüme
guess	tahmin
gun	silah
guy	adam
hair	saç
half	yarım
hand	el
hang	asmak
happen	olmak
happy	mutlu
hard	zor
have	sahip olmak
he	o (erkek)
head	kafa
health	sağlık
hear	duymak
heart	kalp
heat	sıcaklık
heavy	ağır
help	yardım
her	ona (kadın)
here	burada
herself	kendini
high	yüksek
him	onu (erkek)
himself	kendisi
his	onun (erkek
history	tarih
hit	çarmak
hold	tutmak
home	ev
hope	umut
hospital	hastane
hot	sıcak
hotel	otel
hour	saat
house	ev
how	nasıl
however	ancak
huge	kocaman
human	insan
hundred	yüz
husband	koca
idea	fikir
identify	belirlemek, tanımak, tanımlamak
if	eğer
image	görüntü, resim
imagine	hayal etmek
impact	etki
important	önemli
improve	iyileştirmek, iyi hale getirmek
in	içinde
include	dahil etmek
including	dahil olmak üzere
increase	artırmak
indeed	aslında
indicate	belirtmek
individual	bireysel
industry	endüstri
information	bilgi
inside	Içeride
instead	yerine
institution	kurum
interest	faiz
interesting	ilginç
international	uluslararası
interview	röportaj
into	Içine
investment	yatırım
involve	içermek, kapsamak
issue	sorun
it	o (cansız)
item	öğe
its	onun (cansız)
itself	kendisi
job	meslek
join	katılmak
just	sadece
keep	tutmak
key	anahtar
kid	çocuk
kill	öldürmek
kind	tür
kitchen	mutfak
know	bilmek
knowledge	bilgi
land	arazi, toprak
language	dil
large	geniş
last	son
late	geç
later	sonra
laugh	gülmek
law	hukuk
lawyer	avukat
lay	yatırmak
lead	öncülük etmek
leader	lider
learn	öğrenmek
least	en az
leave	ayrılmak
left	ayrıldı
leg	bacak
legal	yasal
less	az
let	Izin vermek
letter	mektup
level	seviye
lie	yalan
life	hayat
light	ışık
like	sevmek, beğenmek
likely	muhtemel
line	çizgi, sıra
list	liste
listen	dinlemek
little	küçük
live	canlı
local	yerel
long	uzun
look	bakmak
lose	kaybetmek
loss	kayıp
lot	çok
love	aşk
low	düşük
machine	makine
magazine	dergi
main	ana
maintain	sürdürmek
majority	çoğunluk
make	yapmak
man	adam, insan
manage	yönetmek
management	yönetim
manager	müdür, yönetici
many	çok
market	pazar
marriage	evlilik
material	malzeme
matter	konu, mesele
may	mayıs ayı
maybe	belki, olabilir
me	bana, beni
mean	anlamına gelmek
measure	ölçmek
media	medya
medical	tıbbi
meet	buluşmak
meeting	toplantı
member	üye
memory	hafıza
mention	değinmek, söz etmek
message	mesaj
method	yöntem
middle	orta
might	belki
military	askeri
million	milyon
mind	zihin
minute	dakika
miss	özlemek
mission	misyon
model	model
modern	modern
moment	an
money	para
month	ay
more	daha
morning	sabah
most	çoğu
mother	anne
mouth	ağız
move	hareket etmek
movement	hareket
movie	film
Mr	bay
Mrs	bayan
much	çok
music	müzik
must	zorunlu
my	benim
myself	kendim
name	isim
nation	ulus
national	ulusal
natural	doğal
nature	doğa
near	yakın
nearly	neredeyse
necessary	gerekli
need	ihtiyaç, gereksinim
network	ağ
never	asla
new	yeni
news	haber
newspaper	gazete
next	sonraki
nice	iyi, güzel
night	gece
no	hayır
none	yok, hayır, hiçbiri, hiçbir şey
nor	ne de
north	kuzey
not	değil
note	not
nothing	hiçbir şey
notice	fark etmek
now	şimdi
number	numara
occur	meydana gelmek
off	kapalı
offer	teklif etmek
office	ofis
officer	memur
official	resmi
often	sıklıkla
oil	yağ
okay	tamam
old	yaşlı, eski
on	üzerinde
once	bir zamanlar
one	bir
only	bir tek
onto	üstüne
open	açık
operation	ameliyat
opportunity	fırsat
option	seçenek
or	veya
order	sipariş, sipariş vermek
organization	organizasyon
other	diğer
others	diğerleri
our	bizim
out	dışarı
outside	dışında
over	bitti
own	kendi
owner	sahip
page	sayfa
pain	ağrı
painting	boyama
paper	kağıt
parent	ebeveyn
part	bölüm
participant	katılımcı
particular	özel, belirli
particularly	özellikle
partner	partner, ortak
party	parti
pass	geçmek
past	geçmiş
patient	hasta, sabırlı, hoşgörülü
pattern	desen
pay	ödemek
peace	barış
people	insanlar
per	başına, göre
perform	yapmak, uygulamak, yerine getirmek
performance	performans
perhaps	belki
period	periyot, dönem
person	kişi
personal	kişisel
phone	telefon
physical	fiziksel
pick	almak
picture	resim
piece	parça
place	yer, mekan
plan	plan
plant	bitki
play	oynamak
player	oyuncu
point	puan
police	polis
policy	politika
political	siyasi
politics	siyaset
poor	fakir
popular	popüler
population	nüfus
position	pozisyon
positive	pozitif
possible	mümkün
power	güç
practice	uygulama, pratik
prepare	hazırlamak
present	mevcut
president	devlet başkanı
pressure	basınç
pretty	güzel
prevent	engel olmak
price	fiyat
private	özel
probably	muhtemelen
problem	problem, sorun
process	süreç, işlem
produce	üretmek
product	ürün
production	üretim
professional	profesyonel
professor	profesör
program	program
project	proje
property	gayrimenkul
protect	korumak
prove	kanıtlamak
provide	sağlamak
public	halka açık
pull	çekmek
purpose	amaç
push	itmek
put	koymak
quality	kalite
question	soru
quickly	hızlı bir şekilde
quite	oldukça
race	yarış
radio	radyo
raise	yükseltmek
range	menzil, aralık
rate	oran
rather	daha doğrusu
reach	ulaşmak
read	okumak
ready	hazır
real	reel, gerçek
reality	gerçeklik
realize	fark etmek
really	gerçekten
reason	neden
receive	teslim almak
recent	son
recently	son günlerde
recognize	tanımak
record	kayıt
red	kırmızı
reduce	azaltmak, düşürmek
reflect	yansıtmak
region	bölge
relate	Ilişki kurmak
relationship	Ilişki
religious	dini
remain	kalmak, sürdürmek
remember	hatırlamak
remove	kaldırmak, uzaklaştırmak, ortadan kaldırmak
report	rapor
represent	temsil etmek
republican	cumhuriyetçi
require	gerekmek, gerektirmek
research	araştırma
resource	kaynak
respond	yanıtlamak
response	cevap vermek
responsibility	sorumluluk
rest	dinlenme
result	sonuç
return	dönüş
reveal	ortaya çıkartmak, açığa vurmak
rich	zengin
right	sağ
rise	yükselmek
risk	risk
road	karayolu, yol
rock	kaya
role	rol
room	oda
rule	kural
run	koşmak
safe	güvenli
same	aynı
save	kayıt etmek
say	söylemek
scene	sahne
school	okul
science	bilim
scientist	bilim insanı
score	skor
sea	deniz
season	sezon
seat	koltuk
second	ikinci
section	bölüm, kesit
security	güvenlik
see	görmek
seek	aramak
seem	görünmek
sell	satmak
send	göndermek
senior	kıdemli, yaşça büyük
sense	algı, duyu
series	dizi, seri
serious	ciddi
serve	servis
service	hizmet
set	ayarlamak
seven	yedi
several	birkaç
shake	sallamak
share	paylaşmak
she	o (kadın)
shoot	şut çekmek
short	kısa
shot	atış
should	meli, malı
shoulder	omuz
show	göstermek
side	yan
sign	işaret
significant	önemli
similar	benzer
simple	basit
simply	basitçe
since	dan beri
sing	şarkı söylemek
single	tek
sister	kız kardeş
sit	oturmak
site	alan
situation	durum
six	altı
size	boyut
skill	beceri
skin	cilt
small	küçük
smile	gülümseme
so	yani
social	sosyal
society	toplum
soldier	asker
some	bazı
somebody	birileri
someone	birisi
something	bir şey
sometimes	ara sıra
son	oğul
song	şarkı
soon	yakında
sort	çeşit
sound	ses
source	kaynak
south	güney
southern	güney, güneyli
space	boşluk
speak	konuşmak
special	özel
specific	özel
speech	konuşma
spend	harcamak
sport	spor
spring	bahar
staff	personel
stage	sahne
stand	ayakta durmak, direnmek
standard	standart
star	yıldız
start	başlama
state	devlet, durum
statement	beyan, ifade
station	istasyon
stay	kalmak
step	adım
still	hala
stock	stok
stop	dur, durmak
store	mağaza
story	öykü
strategy	strateji
street	sokak
strong	güçlü
structure	yapı
student	öğrenci
study	ders çalışma
stuff	şey, madde
style	stil
subject	konu
success	başarı
successful	başarılı
such	böyle
suddenly	aniden
suffer	acı çekmek
suggest	önermek
summer	yaz
support	destek
sure	emin
surface	yüzey
system	sistem
table	masa, tablo
take	almak
talk	konuşmak
task	görev
tax	vergi
teach	öğretmek
teacher	öğretmen
team	takım
technology	teknoloji
television	televizyon
tell	söylemek
ten	on
tend	yönelmek, eğilmek
term	terim
test	test
thank	teşekkür etmek
that	o
their	onların
them	onları
themselves	kendilerini
then	sonra
theory	teori
there	orada
these	bunlar
they	onlar
thing	şey
think	düşünmek
third	üçüncü
this	bu
those	bunlar
though	olsa da
thought	düşündü
thousand	bin
threat	tehdit
three	üç
through	vasıtasıyla
throughout	boyunca
throw	atmak
thus	böylece
time	zaman
to	mastar (mek, mak), karşı
today	bugün
together	birlikte
tonight	bu gece
too	çok, fazla
top	üst
total	toplam, tüm
tough	sert
toward	-e doğru
town	kasaba
trade	ticaret
traditional	geleneksel
training	eğitim, antrenman
travel	seyahat
treat	tedavi etmek
treatment	tedavi 
tree	ağaç
trial	deneme, test
trip	yolculuk
trouble	sorun
true	doğru
truth	hakikat
try	denemek
turn	çevirmek
two	iki
type	tip, tür, model
under	altında
understand	anlamak
unit	ünite
until	-a kadar
up	yukarı
upon	üzerinde
us	bize
use	kullanmak
usually	genellikle
value	değer
various	çeşitli
very	çok
victim	kurban
view	görünüm
violence	şiddet
visit	ziyaret etmek
voice	ses
vote	oy
wait	beklemek
walk	yürümek
wall	duvar
want	istemek
war	savaş
watch	izlemek
water	su
way	yol, yön, yöntem
we	biz
weapon	silah
wear	giyinmek
week	hafta
weight	ağırlık
well	daha iyi
west	batı
western	batıda
what	ne
whatever	her neyse
when	ne zaman
where	nerede
which	hangi
while	iken
white	beyaz
who	kim
whom	kime
whose	kimin
why	niçin?
wide	geniş
wife	kadın eş
win	kazanmak
wind	rüzgar
window	pencere
wish	dilek, dilemek
with	ile
within	içinde
without	olmadan
woman	kadın
wonder	merak etmek, şaşmak
word	kelime
work	çalışmak
worker	işçi
world	dünya
worry	endişe etmek
would	cekti, caktı
write	yazmak
writer	yazar
wrong	yanlış
yard	avlu
yarn	iplik
year	yıl
yearly	yıllık
yelling	seslenmek
yes	evet
yesterday	dün
yet	henüz
you	sen
young	genç
your	senin
yourself	kendin
youth	gençlik
zebra	zebra
zeppelin	zeplin
zipper	fermuar
zodiac	burçlar kuşağı
zombie	zombi
zoo	hayvanat bahçesi
zoology	hayvan bilimi
zoom	yakınlaşmak, zoom yapmak
Allow me	Bana izin ver
Be calm!	Sakin ol!
Be careful!	Dikkatli ol!
Be patient!	Sabırlı ol!
Be quiet!	Sessiz ol
Believe me	İnan bana
Bless you!	Çok yasa!
Bottoms up!	Şerefe!
Call me back	Beni geri ara
Call me later	Beni daha sonra ara
Cheer up!	Neşelen
Come on	Hadi ama
Come with me	Benimle gel
Congratulations!	Tebrikler!
Count me on, Count me in	Ben varım, beni de sayın
Do me a favor	Bana bir iyilik yap
Enjoy yourself	Eğlenmene bak
Excuse me Sir	Affedersiniz efendim
Follow me	Beni takip et
Forget it!	Unut gitsin
Forgive me	Beni affet
Give me a hand	Bana el uzat, bana yardımcı ol
Good afternoon	İyi günler
Good job!	İyi iş
Good luck!	İyi şanslar
Good morning	Günaydın
Good night	İyi geceler
Goodbye	Hoşça kal
Have a good trip	İyi yolculuklar
Have a good weekend	İyi hafta sonları
Have fun	İyi eğlenceler
Help yourself	Buyurun
Hurry up	Acele et
I admire you	Sana hayranım
I agree with you	Sana katılıyorum
I am home	Ben evdeyim
I am hungry	Açım
I am lost	Ben kayboldum
I am serious	Ben ciddiyim
I am sure	Eminim
I apologize	Özür dilerim
I got it	Anladım
I hate you!	Senden nefret ediyorum
I have no idea	Hiçbir fikrim yok
I hope so	Umarım
I knew it	Biliyordum
I know	Biliyorum
I love you	Seni seviyorum
I promise	Söz veriyorum
I think so	Sanırım
I will be back	Geri döneceğim
I wish you all the best	Her şeyin gönlünce olması dileğiyle
I would love to	Çok isterim
I’m busy	Meşgulüm
I’m good	İyiyim
I’m sorry	Üzgünüm
I’m tired	Yorgunum
I’m sorry	Üzgünüm, affedersiniz
It is beyond me	Bu beni aşar
It’s okay	Her şey yolunda
It’s so good to see you again	Seni tekrar görmek çok güzel
Join me	Katıl bana
Keep in touch	İletişimi koparmayalım
Keep it up	Aynen devam et
Let’s catch up!	Hadi arayı kapatalım
Let’s do it!	Hadi yapalım.
Line up	Sıraya gir
Long time no talk	Konuşmayalı uzun zaman oldu
My battery is low	Şarjım az kaldı
Nice to meet you	Tanıştığıma memnun oldum
Of course	Tabii ki, Elbette
See you	Görüşürüz
See you later	Sonra görüşürüz
See you next time	Bir dahaki sefere görüşürüz
See you tomorrow	Yarın görüşürüz
Slow down	Yavaşla
Take care	Kendine iyi bak
Talk to you tomorrow	Yarın konuşuruz
Thank you very much	Çok teşekkür ederim
That’s all for now	Şimdilik bu kadar
This way	Buradan
Try again	Tekrar dene
You are going too fast	Çok hızlı gidiyorsun
You are welcome	Rica ederim
Your turn	Senin sıran
Don’t be ridiculous	Komik olma
Don’t be so childish	Çocuk olma
Don’t be so modest	Alçak gönüllü olma
Don’t keep the truth from me	Benden gerçekleri saklama
Don’t let me down	Beni hayal kırıklığına uğratma
Don’t move	Kıpırdama
Don’t touch me	Dokunma bana
Don’t worry	Endişelenme
I am not hungry	Aç değilim
I can’t wait	Bekleyemem
I don’t agree	Katılmıyorum
I don’t believe you	Sana inanmıyorum
I don’t care	Umrumda değil
I don’t know	Bilmiyorum
I don’t mean it	Onu demek istemedim
I don’t understand	Anlamadım
I don’t want to	İstemiyorum
I don’t have time	Zamanım yok
I have no idea	Hiçbir fikrim yok
It doesn’t matter	Fark etmez
Not at all	Önemli değil
Not bad	Kötü değil
Not yet	Daha değil
Anything else?	Başka bir şey var mı?
Are you coming with me?	Benimle geliyor musun?
Are you coming?	Geliyor musun?
Are you done?	Bitirdin mi?
Are you hungry?	Aç mısın?
Are you kidding me?	Benimle dalga mı geçiyorsun?
Are you lost?	Kayıp mı oldun?
Are you not feeling well?	Kendini iyi hissetmiyor musun?
Are you okay?	İyi misin?
Are you sure?	Emin misin?
Can I ask you something?	Sana bir şey sorabilir miyim?
Can I help you?	Yardım edebilir miyim?
Can you help me please?	Lütfen bana yardım eder misin?
Can you please repeat that?	Lütfen tekrar eder misin?
Can you repeat it?	Tekrar edebilir misin?
Did you get it?	Aldın mı? / Anladın mı?
Did you lose your bag?	Çantanızı mı kaybettiniz?
Do l have to?	Yapmak zorunda mıyım?
Do you need anything?	Bir şeye ihtiyacın var mı?
Do you speak our language?	Dilimizi konuşabiliyor musunuz?
Do you understand?	Anlıyor musun?
Do you want it?	Bunu istiyor musun?
Do you want something?	Bir şey ister misin?
Excuse me?	Bakar mısınız?
For what?	Ne için?
Guess what?	Tahmin et, ne oldu?
How are things doing?	İşler nasıl gidiyor?
How are you?	Nasılsın?
How do you feel?	Ne hissediyorsun?
How much is it?	Fiyatı ne kadar?
How much?	Ne kadar?
How old are you?	Kaç yaşındasın?
How was your weekend?	Hafta sonun nasıldı?
Is all good?	Her şey iyi mi?
Is everything OK?	Her şey yolunda mı?
Is it true or false?	Doğru mu yanlış mı?
What are you doing?	Ne yapıyorsun?
What are you talking about?	Neyden bahsediyorsun?
What are you up to?	Neler yapıyorsun?
What are your hobbies?	Hobilerin neler?
What did you say?	Ne dedin?
What do you need?	Neye ihtiyacın var?
What do you think?	Ne düşünüyorsun?
What do you want to do?	Ne yapmak istersin?
What else?	Başka
What happened?	Ne oldu?
What is the matter?	Sorun nedir?
What time is it?	Saat kaç?
What’s going on?	Neler oluyor?
What’s the weather like?	Hava nasıl?
What’s up?	Ne haber?
What’s wrong with you?	Neyin var?
What’s your email address?	E-posta adresin ne?
What’s your job?	Ne iş yapıyorsun?
What’s your name?	Adın ne?
What’s your phone number?	Telefon numaran ne?
When did you come here?	Ne zaman buraya geldin?
Where are you from?	Nerelisin?
Where are you going?	Nereye gidiyorsun?
Where are you?	Neredesin?
Where did you get it?	Nereden aldın?
Where do you live?	Nerede yaşıyorsun?
Where have you been all this while	Bunca zamandır neredeydin?
Which bus do you want?	Hangi otobüsü istiyorsun?
Who are you?	Kimsin sen?
Why not?	Neden olmasın?
Why are you here?	Neden buradasın?
